ID,Usernames,Followers,Posts,Gender,Link to photo,Photo likes,Photo comments,Framing,Background,Headwear,Hair style,Hair color,Eye color,Facial piercings,Earrings,Smile,Teeth,Facial hair,Glasses,Eye shadow color,Lipstick color,Makeup,Clothes,Cleavage,Necklace,Tattoos
0,kimkardashian,"153,964,746",4924,F,https://www.instagram.com/p/B53bekzgAoC/,"492,993","2,746",Full Face,Inside,No,Pulled up,Black,Brown,No,No,No,No,None,No,Brown,Neutral,Yes,None,No,No,No
1,kimkardashian,"153,964,746",4924,F,https://www.instagram.com/p/B5zWrhqAAFn/,"1,954,509","6,943",Full Body,Outside,No,Medium,Black,Brown,No,No,No,No,None,No,Brown,Neutral,Yes,Shirt,No,No,No
2,kimkardashian,"153,964,746",4924,F,https://www.instagram.com/p/B5taJijAZny/,"1,412,826","3,742",Full Face,Inside,No,Pulled up,Black,Brown,No,No,Yes,Yes,None,No,Brown,Neutral,Yes,Shirt,No,No,No
3,neymarjr,"129,916,255",4604,M,https://www.instagram.com/p/B5tBGohAWvf/,"1,816,094",17,Full Face,Inside,No,Short,Brown,Brown,No,Yes,No,Yes,Medium,No,None,None,No,Tank Top,No,Yes,Yes
4,neymarjr,"129,916,255",4604,M,https://www.instagram.com/p/B5ImN8ogQ82/,"1,979,061",31,Full Face,Outside,Yes,None,None,Brown,No,Yes,Yes,Yes,Medium,No,None,None,No,Jacket,No,No,Yes
5,neymarjr,"129,916,255",4604,M,https://www.instagram.com/p/B4Umae9Ipn7/,"2,028,929",15,Full Body,Outside,Yes,Short,Brown,None,No,Yes,No,Yes,Light,Yes,None,None,No,Shirt,No,Yes,Yes
6,taylorswift,"124,019,697",413,F,https://www.instagram.com/p/B5ibzvXDDIn/,"2,921,239",0,Full Face,Inside,No,Medium,Blonde,Blue,No,No,No,Yes,None,No,Pink,Pink,Yes,Tank Top,Yes,No,No
7,taylorswift,"124,019,697",413,F,https://www.instagram.com/p/B2rOJNwjkqX/,"1,398,139",0,Full Face,Inside,No,Pulled up,Blonde,Blue,No,No,No,Yes,None,No,None,Red,Yes,Shirt,No,No,No
8,taylorswift,"124,019,697",413,F,https://www.instagram.com/p/B2j_mSWD4_f/,"1,352,438",0,Full Face,Inside,No,Pulled up,Blonde,Blue,No,Yes,No,Yes,None,No,None,Red,Yes,Shirt,No,No,No
9,nickiminaj,"108,817,235",6034,F,https://www.instagram.com/p/B30EvGEnW4o/,"2,068,757","28,700",Full Face,Inside,No,Long,Pink,Blue,No,No,No,No,None,No,None,Pink,Yes,None,No,No,Yes
10,nickiminaj,"108,817,235",6034,F,https://www.instagram.com/p/B4nCMEYnxaj/,"2,286,631","25,300",Full Body,Inside,No,Pulled up,Black,Brown,No,Yes,No,No,None,No,None,Neutral,Yes,Dress,Yes,No,No
11,nickiminaj,"108,817,235",6034,F,https://www.instagram.com/p/BzQVGyyH8Mk/,"1,561,040","19,800",Full Body,Inside,No,Pulled up,Black,Brown,No,No,No,No,None,No,None,Neutral,Yes,Body Suit,Yes,No,No
12,khloekardashian,"101,632,344",3688,F,https://www.instagram.com/p/B5p7OEPBI0K/,"1,418,855","8,199",Full Face,Outside,No,Long,Blonde,Hazel,No,Yes,No,Yes,None,No,Brown,Neutral,Yes,Body Suit,Yes,No,No
